Tiempo,TempA,TempB
96.8,60.3135,15.2556
96.899,60.334,15.2582
97,60.3704,15.2626
97.1,60.3556,15.2856
97.2,60.3721,15.2384
97.299,60.4084,15.2875
97.399,60.4408,15.239
97.499,60.4569,15.2639
97.6,60.4728,15.2284
97.7,60.4961,15.2518
97.799,60.5281,15.2201
97.9,60.5329,15.2211
97.999,60.5578,15.243
98.1,60.5698,15.2178
98.199,60.5957,15.2343
98.3,60.5901,15.2149
98.4,60.6069,15.2414
98.5,60.5954,15.2194
98.6,60.6141,15.215
98.7,60.6106,15.2032
98.8,60.6033,15.1953
98.9,60.5871,15.206
99.001,60.5859,15.2018
99.101,60.5854,15.222
99.2,60.5835,15.2176
99.299,60.5774,15.2265
99.399,60.55,15.205
99.5,60.4929,15.2076
99.6,60.4984,15.2079
99.7,60.4776,15.2127
99.799,60.4514,15.2014
99.9,60.4442,15.1913
99.999,60.4211,15.1947
100.1,60.4036,15.1909
100.2,60.3415,15.193
100.3,60.3429,15.1931
100.401,60.343,15.1898
100.499,60.3406,15.1814
100.6,60.298,15.177
100.7,60.2958,15.1499
100.8,60.2536,15.1513
100.9,60.2375,15.1618
101,60.2245,15.1688
101.1,60.2432,15.1539
101.2,60.2191,15.1818
101.299,60.2199,15.1601
101.4,60.1954,15.1651
101.5,60.1307,15.1661
101.6,60.1476,15.1469
