t,tempA_mod,tempB_mod
4585.41,9.74457,0.882786
4596.35,9.702,0.87945
4607.3,9.65962,0.876142
4618.24,9.61743,0.872863
4629.19,9.57542,0.869613
4640.13,9.5336,0.866392
4651.07,9.49196,0.863198
4662.02,9.4505,0.860032
4672.96,9.40922,0.856894
4683.9,9.36812,0.853783
4694.85,9.3272,0.850699
4705.79,9.28646,0.847642
4716.73,9.2459,0.844612
4727.68,9.20551,0.841608
4738.62,9.1653,0.83863
4749.57,9.12527,0.835678
4760.51,9.08541,0.832752
4771.45,9.04573,0.829852
4782.4,9.00622,0.826976
4793.34,8.96688,0.824126
4804.28,8.92771,0.821301
4815.23,8.88872,0.8185
4826.17,8.84989,0.815724
4837.12,8.81124,0.812972
4848.06,8.77275,0.810244
4859,8.73443,0.807539
4869.95,8.69628,0.804859
4880.89,8.65829,0.802201
4891.83,8.62048,0.799567
4902.78,8.58282,0.796956
4913.72,8.54533,0.794367
4924.67,8.50801,0.791801
4935.61,8.47085,0.789258
4946.55,8.43385,0.786736
4957.5,8.39701,0.784237
4968.44,8.36033,0.781759
4979.38,8.32381,0.779303
4990.33,8.28746,0.776869
5001.27,8.25126,0.774455
5012.21,8.21522,0.772063
5023.16,8.17933,0.769692
5034.1,8.14361,0.767341
5045.05,8.10804,0.76501
5055.99,8.07262,0.7627
5066.93,8.03736,0.76041
5077.88,8.00225,0.758141
5088.82,7.9673,0.75589
5099.76,7.9325,0.75366
5110.71,7.89785,0.751449
5121.65,7.86335,0.749257
5132.6,7.82901,0.747084
5143.54,7.79481,0.74493
5154.48,7.76076,0.742795
5165.43,7.72687,0.740679
5176.37,7.69312,0.738581
5187.31,7.65951,0.736501
5198.26,7.62606,0.73444
5209.2,7.59275,0.732396
5220.14,7.55958,0.730371
5231.09,7.52656,0.728363
5242.03,7.49369,0.726372
5252.98,7.46096,0.724399
5263.92,7.42837,0.722443
5274.86,7.39592,0.720504
5285.81,7.36362,0.718582
5296.75,7.33145,0.716676
5307.69,7.29943,0.714788
5318.64,7.26755,0.712915
5329.58,7.2358,0.711059
5340.53,7.2042,0.70922
5351.47,7.17273,0.707396
5362.41,7.1414,0.705588
5373.36,7.11021,0.703796
5384.3,7.07915,0.70202
5395.24,7.04823,0.700259
5406.19,7.01744,0.698513
5417.13,6.98679,0.696783
5428.08,6.95627,0.695067
5439.02,6.92589,0.693367
5449.96,6.89564,0.691682
5460.91,6.86552,0.690011
5471.85,6.83553,0.688354
5482.79,6.80567,0.686713
5493.74,6.77595,0.685085
5504.68,6.74635,0.683472
5515.62,6.71688,0.681872
5526.57,6.68754,0.680287
5537.51,6.65833,0.678716
5548.46,6.62925,0.677158
5559.4,6.60029,0.675614
5570.34,6.57146,0.674083
5581.29,6.54276,0.672565
5592.23,6.51418,0.671061
5603.17,6.48573,0.66957
5614.12,6.4574,0.668092
5625.06,6.42919,0.666627
5636.01,6.40111,0.665174
5646.95,6.37315,0.663734
5657.89,6.34531,0.662307
5668.84,6.3176,0.660892
5679.78,6.29,0.65949
5690.72,6.26253,0.6581
5701.67,6.23518,0.656722
5712.61,6.20794,0.655356
5723.56,6.18083,0.654001
5734.5,6.15383,0.652659
5745.44,6.12695,0.651328
5756.39,6.10019,0.650009
5767.33,6.07354,0.648702
5778.27,6.04701,0.647405
5789.22,6.0206,0.646121
5800.16,5.9943,0.644847
5811.1,5.96812,0.643584
5822.05,5.94205,0.642333
5832.99,5.9161,0.641092
5843.94,5.89026,0.639862
5854.88,5.86453,0.638643
5865.82,5.83891,0.637434
5876.77,5.81341,0.636236
5887.71,5.78802,0.635049
5898.65,5.76273,0.633872
5909.6,5.73756,0.632705
5920.54,5.7125,0.631548
5931.49,5.68755,0.630401
5942.43,5.66271,0.629265
5953.37,5.63797,0.628138
5964.32,5.61335,0.627021
5975.26,5.58883,0.625914
5986.2,5.56442,0.624816
5997.15,5.54011,0.623728
6008.09,5.51591,0.62265
6019.04,5.49182,0.621581
6029.98,5.46783,0.620521
6040.92,5.44395,0.61947
6051.87,5.42017,0.618429
6062.81,5.3965,0.617397
6073.75,5.37293,0.616373
6084.7,5.34946,0.615359
6095.64,5.32609,0.614353
6106.58,5.30283,0.613357
6117.53,5.27966,0.612368
6128.47,5.2566,0.611389
6139.42,5.23364,0.610418
6150.36,5.21078,0.609455
6161.3,5.18802,0.608501
6172.25,5.16536,0.607556
6183.19,5.1428,0.606618
6194.13,5.12034,0.605689
6205.08,5.09797,0.604767
6216.02,5.0757,0.603854
6226.97,5.05353,0.602949
6237.91,5.03146,0.602052
6248.85,5.00948,0.601162
6259.8,4.9876,0.60028
6270.74,4.96582,0.599406
6281.68,4.94413,0.59854
6292.63,4.92253,0.597681
6303.57,4.90103,0.596829
6314.51,4.87962,0.595985
6325.46,4.85831,0.595148
6336.4,4.83709,0.594319
6347.35,4.81596,0.593497
6358.29,4.79492,0.592682
6369.23,4.77398,0.591874
6380.18,4.75313,0.591073
6391.12,4.73237,0.590279
6402.06,4.7117,0.589492
6413.01,4.69112,0.588712
6423.95,4.67063,0.587939
6434.9,4.65023,0.587173
6445.84,4.62991,0.586413
6456.78,4.60969,0.585659
6467.73,4.58956,0.584913
6478.67,4.56951,0.584173
6489.61,4.54955,0.583439
6500.56,4.52968,0.582712
6511.5,4.50989,0.581991
6522.45,4.49019,0.581276
6533.39,4.47058,0.580567
6544.33,4.45105,0.579865
6555.28,4.43161,0.579169
6566.22,4.41225,0.578479
6577.16,4.39298,0.577795
6588.11,4.37379,0.577117
6599.05,4.35469,0.576444
6609.99,4.33567,0.575778
6620.94,4.31673,0.575118
6631.88,4.29788,0.574463
6642.83,4.2791,0.573814
6653.77,4.26041,0.57317
6664.71,4.2418,0.572533
6675.66,4.22328,0.5719
6686.6,4.20483,0.571274
6697.54,4.18646,0.570652
6708.49,4.16818,0.570036
6719.43,4.14997,0.569426
6730.38,4.13184,0.568821
6741.32,4.1138,0.568221
6752.26,4.09583,0.567626
6763.21,4.07794,0.567037
6774.15,4.06012,0.566452
6785.09,4.04239,0.565873
6796.04,4.02473,0.565299
6806.98,4.00715,0.56473
6817.93,3.98965,0.564165
6828.87,3.97222,0.563606
6839.81,3.95487,0.563052
6850.76,3.9376,0.562502
6861.7,3.9204,0.561957
6872.64,3.90328,0.561417
6883.59,3.88623,0.560882
6894.53,3.86925,0.560351
6905.47,3.85235,0.559825
